;;;;;;;;;;;;SOLL;GES;T;N;N;NEF;;;;Ka;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;3;2;3;2;1;3;2;1;3;2;3;2;1;3;2;1;2;1;3;2;1;;;;;;;;;;
;Ahrberg;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;;;;#NAME?;;;;;;;;;4N;;;;;;;;;;;;;4T;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;;;;;;4N;;;;;4N;;;;;;;;;;;;;4T;;;7T;;;;;4N;;;;;;;;7T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dietrich;0;0;0;0;0;0;0;0;0;0;37;1;0;0;0;0;;;;#NAME?;4N;;;;;;;;;;4N;;;7T;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;7N;;;;;;;;;;7N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4T;;4T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Skeretsch;0;0;0;0;0;0;0;0;0;0;33;6;0;0;0;0;;;;#NAME?;;;;;;;;;;;;;;4N;;;;;;;;;;;;;;;;;;LFZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4N;;;;;LFZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bškelmann;0;0;0;0;0;0;0;0;0;0;26;-1;0;0;0;0;;;;#NAME?;NEF;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;7T;;;;;;;;;;;;;;;;;;;4N;;4T;;;;;;;;;;;4N;;;;;;;;;;7N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;Ka;;;;;Ka;;;Ka;;Ka;;;Ka;;;Ka;;Ka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Doellert;0;0;0;0;0;0;0;0;0;0;49;1;0;0;0;0;;;;#NAME?;Ka;;;;;Ka;;;Ka;;Ka;;;Ka;;;Ka;;Ka;;;;;;;;;;;7T;;NEF;;;;;;;;7N;;;;;;;;;;;7T;;;;;;;;;;4T;;;;;;;;7N;;;;;;;;NEF;;;NEF;;NEF;;;NEF;;;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;NEF;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gebauer;0;0;0;0;0;0;0;0;0;0;47;3;0;0;0;0;;;;#NAME?;;;;;;;;;;;;;;;;;;;7T;;;;;;;;7N;;;;;;;;;;;;;;;;NEF;;;;;4T;;;7N;;;;;;;;4T;;4N;;;;;;;;;;;4T;;NEF;;;;;;;;;;;;;;;;;;;NEF;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;NEF;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;NEF;;;NEF;;NEF;;;Ka;;;;;Ka;;;Ka;;Ka;;;Ka;;;Ka;;Ka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;;;NEF;;;;;;;;;;;;
;Getvan;0;0;0;0;0;0;0;0;0;0;48;2;0;0;0;0;;;;#NAME?;4T;;;;;;;;;;K;;;;;;;;;;;;;;;;;;;;;7N;;;7T;;;;;7N;;;;;;;;7T;;;;;7T;;;;;;4N;;;;;4T;;;;;;;;;;;;;;;;;;;;;;;;;;4T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ka;;;;;Ka;;;Ka;;Ka;;;Ka;;;Ka;;Ka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gšrtler;0;0;0;0;0;0;0;0;0;0;53;-3;0;0;0;0;;;;#NAME?;7T;;;;;;;;4T;;;;;7N;;;;;;;;;;;;;;;;7N;;4N;;;;;;;;;;;4N;;;;;4N;;;;;4T;;;7N;;;;;;;;7T;;;;;;;;7N;;;;;4T;;;;;;;;;;;;;7N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ka;;;;;Ka;;;Ka;;Ka;;;Ka;;;Ka;;Ka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hettenbach;0;0;0;0;0;0;0;0;0;0;46;4;0;0;0;0;;;;#NAME?;;;;;;Ka;;;Ka;;Ka;;;Ka;;;Ka;;Ka;;;;;;;;4T;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;NEF;;;;;;7N;;;;;;;;;;;;;;;4N;;;;;;7T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;NEF;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NEF;;;NEF;;;;;;;;;;;;;;;;;;;;;;;;;
